,state_x,state_y,move_dir,throw_dir,Action,move_x,move_y,throw_dir_2,u,v
212,-5,8,3,none,MOVE,1,-1,-1000,0.1,-0.1
213,-5,9,3,none,MOVE,1,-1,-1000,0.1,-0.1
214,-5,9,4,none,MOVE,0,-1,-1000,0.0,-0.1
215,-5,10,3,none,MOVE,1,-1,-1000,0.1,-0.1
216,-5,10,4,none,MOVE,0,-1,-1000,0.0,-0.1
217,-5,10,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
218,-4,-10,0,none,MOVE,0,1,-1000,0.0,0.1
219,-4,-10,1,none,MOVE,1,1,-1000,0.1,0.1
220,-4,-10,7,none,MOVE,-1,1,-1000,-0.1,0.1
221,-4,-9,0,none,MOVE,0,1,-1000,0.0,0.1
222,-4,-9,1,none,MOVE,1,1,-1000,0.1,0.1
223,-4,-9,7,none,MOVE,-1,1,-1000,-0.1,0.1
224,-4,-8,0,none,MOVE,0,1,-1000,0.0,0.1
225,-4,-8,1,none,MOVE,1,1,-1000,0.1,0.1
226,-4,-7,1,none,MOVE,1,1,-1000,0.1,0.1
227,-4,-6,1,none,MOVE,1,1,-1000,0.1,0.1
228,-4,-5,1,none,MOVE,1,1,-1000,0.1,0.1
229,-4,-4,1,none,MOVE,1,1,-1000,0.1,0.1
230,-4,-3,1,none,MOVE,1,1,-1000,0.1,0.1
231,-4,-2,1,none,MOVE,1,1,-1000,0.1,0.1
232,-4,-1,1,none,MOVE,1,1,-1000,0.1,0.1
233,-4,0,2,none,MOVE,1,0,-1000,0.1,0.0
234,-4,1,3,none,MOVE,1,-1,-1000,0.1,-0.1
235,-4,2,3,none,MOVE,1,-1,-1000,0.1,-0.1
236,-4,3,3,none,MOVE,1,-1,-1000,0.1,-0.1
237,-4,4,3,none,MOVE,1,-1,-1000,0.1,-0.1
238,-4,5,3,none,MOVE,1,-1,-1000,0.1,-0.1
239,-4,6,3,none,MOVE,1,-1,-1000,0.1,-0.1
240,-4,7,3,none,MOVE,1,-1,-1000,0.1,-0.1
241,-4,8,3,none,MOVE,1,-1,-1000,0.1,-0.1
242,-4,8,4,none,MOVE,0,-1,-1000,0.0,-0.1
243,-4,9,3,none,MOVE,1,-1,-1000,0.1,-0.1
244,-4,9,4,none,MOVE,0,-1,-1000,0.0,-0.1
245,-4,9,5,none,MOVE,-1,-1,-1000,-0.1,-0.1
